id,task_name,status,created_at,started_at,completed_at
5492beb6,Rozmowa telefoniczna #1,done,2026-01-17 00:49:00,2026-01-17 00:49:11,2026-01-17 00:49:41
2c08e19b,Rozmowa telefoniczna #2,done,2026-01-17 00:49:00,2026-01-17 00:49:41,2026-01-17 00:50:11
bc6b4734,Rozmowa telefoniczna #3,done,2026-01-17 00:49:00,2026-01-17 00:50:11,2026-01-17 00:50:41
e2f0a31a,Rozmowa telefoniczna #4,in_progress,2026-01-17 00:49:00,2026-01-17 00:50:19,
ccf1e24d,Rozmowa telefoniczna #5,in_progress,2026-01-17 00:49:00,2026-01-17 00:50:23,
49a2999f,Rozmowa telefoniczna #6,in_progress,2026-01-17 00:49:00,2026-01-17 00:50:41,
ac3cde0c,Rozmowa telefoniczna #7,pending,2026-01-17 00:49:00,,
5c31d1e8,Rozmowa telefoniczna #8,pending,2026-01-17 00:49:00,,
7a973750,Rozmowa telefoniczna #9,pending,2026-01-17 00:49:00,,
92b1a972,Rozmowa telefoniczna #10,pending,2026-01-17 00:49:00,,
261aa0ef,Rozmowa telefoniczna #1,pending,2026-01-17 00:50:12,,
d5cace0b,Rozmowa telefoniczna #2,pending,2026-01-17 00:50:12,,
445ed9a7,Rozmowa telefoniczna #3,pending,2026-01-17 00:50:12,,
de3ef1b4,Rozmowa telefoniczna #4,pending,2026-01-17 00:50:12,,
4d4133da,Rozmowa telefoniczna #5,pending,2026-01-17 00:50:12,,
0d2be1de,Rozmowa telefoniczna #6,pending,2026-01-17 00:50:12,,
b6fbe2f6,Rozmowa telefoniczna #7,pending,2026-01-17 00:50:12,,
54368cd9,Rozmowa telefoniczna #8,pending,2026-01-17 00:50:12,,
8d88cfef,Rozmowa telefoniczna #9,pending,2026-01-17 00:50:12,,
c7805ef4,Rozmowa telefoniczna #10,pending,2026-01-17 00:50:12,,
24a58e17,Rozmowa telefoniczna #11,pending,2026-01-17 00:50:12,,
